                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6892,                 1.9087,                 1.0943,                0.99693,                0.44304,                 0.5214,                0.27123,                 1.6522,                 1.6761,                 1.0736,             0.00015003,             0.00015003,             0.00015003
                      2,                 1.6423,                 1.6285,                 1.0699,                0.74958,                0.66893,                0.70172,                0.37049,                 1.6199,                   1.33,                 1.0594,             0.00031046,             0.00031046,             0.00031046
                      3,                 1.6023,                 1.4843,                 1.0736,                0.85232,                 0.7946,                 0.8682,                0.44866,                 1.6002,                 1.1686,                 1.0589,             0.00046429,             0.00046429,             0.00046429
                      4,                 1.6113,                 1.3576,                 1.0762,                0.92037,                 0.7514,                0.88469,                0.46789,                 1.6102,                 1.3161,                 1.0688,             0.00061151,             0.00061151,             0.00061151
                      5,                 1.6651,                 1.3109,                 1.0823,                0.96222,                0.60494,                0.77297,                 0.3595,                 1.6719,                  1.632,                 1.0774,             0.00075214,             0.00075214,             0.00075214
                      6,                  1.607,                 1.1926,                 1.0794,                0.97149,                0.89762,                0.95092,                0.49229,                 1.6488,                 1.1527,                 1.0748,             0.00088616,             0.00088616,             0.00088616
                      7,                 1.6043,                 1.1378,                 1.0378,                 0.9701,                0.90783,                0.96302,                0.51472,                 1.5597,                 1.1286,                 1.0478,              0.0010136,              0.0010136,              0.0010136
                      8,                 1.5529,                 1.1218,                 1.0568,                0.96789,                0.89763,                 0.9613,                 0.4885,                 1.6756,                  1.175,                 1.0767,              0.0011344,              0.0011344,              0.0011344
                      9,                 1.5763,                  1.062,                 1.0684,                0.98013,                0.93126,                0.97152,                0.50704,                 1.6208,                 1.0256,                 1.0594,              0.0012486,              0.0012486,              0.0012486
                     10,                 1.5511,                 1.0535,                 1.0387,                0.97263,                0.93913,                0.98412,                 0.5116,                 1.6606,                0.89915,                 1.0717,              0.0013562,              0.0013562,              0.0013562
                     11,                 1.5563,                 1.0055,                 1.0302,                0.95491,                 0.9628,                0.98394,                0.54024,                 1.5753,                0.86642,                 1.0415,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.5716,                 1.0046,                  1.056,                0.99018,                0.96719,                0.98649,                0.51927,                 1.5752,                0.83303,                 1.0489,              0.0013039,              0.0013039,              0.0013039
                     13,                  1.517,                0.96706,                 1.0401,                 0.9761,                0.98477,                0.98676,                0.52195,                 1.5539,                0.78685,                 1.0371,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.5289,                0.99598,                 1.0302,                0.98551,                0.98734,                0.98469,                0.50443,                 1.6375,                0.79393,                 1.0695,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.5875,                0.96503,                 1.0777,                0.97972,                0.98829,                0.98554,                 0.5263,                 1.5448,                0.78856,                 1.0397,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.5272,                0.94461,                 1.0391,                0.98777,                0.97581,                0.98636,                0.52325,                 1.5498,                0.76082,                 1.0409,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.4989,                0.90955,                 1.0289,                0.97833,                0.96943,                0.98671,                0.51245,                 1.5896,                0.78956,                  1.054,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.5222,                0.91474,                 1.0532,                0.97872,                 0.9759,                0.98428,                0.48319,                 1.6744,                0.76859,                  1.088,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.5046,                0.86387,                 1.0367,                0.98556,                0.97925,                0.98267,                0.53329,                 1.5621,                0.73473,                 1.0434,              0.0010729,              0.0010729,              0.0010729
                     20,                  1.473,                0.85393,                 1.0219,                0.98572,                0.97604,                0.98173,                  0.508,                  1.614,                0.74149,                 1.0625,              0.0010399,              0.0010399,              0.0010399
                     21,                 1.4433,                0.84051,                 1.0187,                0.99139,                 0.9732,                0.98386,                0.48901,                 1.6788,                0.72653,                 1.0815,              0.0010069,              0.0010069,              0.0010069
                     22,                 1.4472,                0.82353,                 1.0255,                0.97784,                 0.9732,                0.98275,                0.47756,                 1.7495,                0.75282,                  1.116,             0.00097386,             0.00097386,             0.00097386
                     23,                  1.446,                0.81637,                  1.012,                0.99063,                0.96461,                0.98111,                0.48957,                 1.6925,                0.72386,                 1.1032,             0.00094085,             0.00094085,             0.00094085
                     24,                 1.4202,                0.80565,                 1.0067,                0.98742,                0.97109,                0.98574,                0.49105,                 1.6657,                0.72984,                  1.098,             0.00090785,             0.00090785,             0.00090785
                     25,                 1.4207,                0.81861,                 1.0044,                0.99122,                0.97173,                0.98606,                0.47788,                 1.6802,                0.71979,                 1.1087,             0.00087484,             0.00087484,             0.00087484
                     26,                 1.4417,                0.81013,                 1.0089,                 0.9771,                0.98149,                0.98504,                0.49143,                 1.6681,                0.69039,                 1.0906,             0.00084184,             0.00084184,             0.00084184
                     27,                 1.4017,                0.77406,                 1.0098,                0.98084,                0.97786,                0.98601,                0.52148,                  1.553,                0.64966,                 1.0463,             0.00080883,             0.00080883,             0.00080883
                     28,                 1.4252,                0.77472,                 1.0128,                0.97752,                0.97953,                0.98363,                0.50469,                 1.6446,                0.64021,                 1.0626,             0.00077582,             0.00077582,             0.00077582
                     29,                 1.4273,                0.77014,                 1.0293,                0.97758,                0.97852,                0.98347,                0.51849,                 1.6183,                0.62924,                 1.0544,             0.00074282,             0.00074282,             0.00074282
                     30,                 1.3848,                 0.7566,                0.98189,                0.98328,                0.97953,                0.98307,                 0.5167,                 1.6417,                0.62562,                 1.0707,             0.00070981,             0.00070981,             0.00070981
                     31,                 1.4006,                0.75462,                0.99466,                0.98276,                0.97953,                0.98457,                0.51778,                 1.6236,                0.60494,                  1.066,              0.0006768,              0.0006768,              0.0006768
                     32,                 1.3676,                0.73685,                0.98918,                0.98096,                0.97953,                0.98616,                0.51856,                 1.5657,                0.60315,                 1.0494,              0.0006438,              0.0006438,              0.0006438
                     33,                 1.3618,                0.75489,                0.99957,                0.97666,                0.97953,                0.98454,                0.50323,                   1.67,                0.64943,                 1.0924,             0.00061079,             0.00061079,             0.00061079
                     34,                 1.3586,                0.72481,                0.99588,                0.97825,                0.97953,                0.98326,                0.51161,                 1.6087,                0.60497,                 1.0658,             0.00057778,             0.00057778,             0.00057778
                     35,                 1.3526,                0.71875,                0.99321,                0.97898,                0.97949,                0.98039,                0.51372,                 1.5933,                0.61129,                 1.0617,             0.00054478,             0.00054478,             0.00054478
                     36,                 1.3423,                0.72088,                0.99216,                0.97842,                0.97371,                0.97884,                0.51547,                  1.577,                0.60768,                 1.0574,             0.00051177,             0.00051177,             0.00051177
                     37,                 1.3394,                0.71061,                0.98819,                 0.9721,                0.98418,                0.98139,                0.52049,                 1.5505,                 0.5911,                 1.0478,             0.00047876,             0.00047876,             0.00047876
                     38,                 1.3329,                0.70484,                0.96632,                 0.9721,                0.98415,                0.98111,                0.52826,                 1.5578,                0.59514,                 1.0427,             0.00044576,             0.00044576,             0.00044576
                     39,                 1.3124,                0.70669,                0.97891,                0.97127,                0.98337,                0.98173,                0.52935,                   1.56,                0.58927,                 1.0435,             0.00041275,             0.00041275,             0.00041275
                     40,                 1.2857,                0.68253,                0.96189,                0.98223,                0.97071,                0.98206,                0.51651,                 1.5832,                0.58256,                 1.0504,             0.00037974,             0.00037974,             0.00037974
                     41,                 1.3193,                0.74221,                 1.0362,                0.98575,                0.97753,                0.98291,                0.51108,                 1.5984,                0.59059,                 1.0636,             0.00034674,             0.00034674,             0.00034674
                     42,                 1.2975,                0.72248,                 1.0151,                0.98818,                0.97953,                0.98302,                 0.5227,                 1.5926,                0.59102,                 1.0614,             0.00031373,             0.00031373,             0.00031373
                     43,                 1.2651,                0.70354,                 1.0046,                0.98848,                0.97953,                0.98304,                0.51787,                 1.6154,                0.59708,                  1.071,             0.00028072,             0.00028072,             0.00028072
                     44,                 1.2679,                0.69893,                0.99636,                 0.9824,                 0.9732,                0.98354,                0.51059,                 1.6426,                0.59603,                 1.0884,             0.00024772,             0.00024772,             0.00024772
                     45,                 1.2818,                0.69864,                 1.0209,                 0.9739,                0.97953,                0.98369,                0.51158,                 1.6414,                0.59872,                 1.0738,             0.00021471,             0.00021471,             0.00021471
                     46,                 1.2787,                0.70195,                 1.0128,                0.98405,                0.96709,                0.98469,                 0.5335,                 1.5867,                 0.5854,                 1.0497,              0.0001817,              0.0001817,              0.0001817
                     47,                 1.2339,                0.67223,                0.97438,                0.97848,                0.97341,                 0.9851,                0.53561,                 1.5617,                0.57985,                 1.0434,              0.0001487,              0.0001487,              0.0001487
                     48,                 1.2438,                0.68392,                 1.0028,                0.97595,                0.97787,                0.98388,                0.52535,                 1.5782,                0.58092,                 1.0562,             0.00011569,             0.00011569,             0.00011569
                     49,                 1.2457,                0.67225,                0.99068,                 0.9773,                0.97578,                0.98354,                0.52473,                 1.5902,                0.58834,                 1.0617,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                 1.2053,                0.66839,                0.98108,                 0.9774,                0.97513,                0.98246,                0.52204,                 1.6062,                 0.5855,                 1.0676,             4.9677e-05,             4.9677e-05,             4.9677e-05
